,mse,rmse,r2
ensemble,0.00030453799990937114,0.017451017159735165,0.9999374151229858
random_forest,1.0159510300632315,1.0079439617673354,0.7912292433022999
xgboost,0.0056644631549716,0.07526262787713169,0.9988359808921814
lightgbm,0.01861926892353147,0.13645244198449316,0.9961738718232495
